date,site,depth_m,Wat_temp_Celcius,DO_sat%,DO_mgL,pH,DOC_mgL,POC_mgL,TP_mgL,DP_mgL,SRP_mgL,TN_mgL,NH4_N_mgL,NO3_N_mgL,PN_mgL,Si_mgL,Chla_lab_mgL,Chla_CTDprobe_mgL
2011/3/9,YRZ,0.5,0.04275,94.55,13.773,7.7,1.86,0.4,0.013,0.01,0.008,,0.014,0.797,0.09,3.89,,0.07
2011/3/30,YRZ,0.5,1.8222,93.555,12.9705,7.3,2.23,0.3,0.011,0.007,0.004,0.8,0.019,0.62,0.38,3.13,,0.37
2011/4/19,YRZ,0.5,5.48385,99.045,12.4655,7.4,2.09,0.6,0.02,0.006,0.003,0.78,0.029,0.48,0.1,2.77,,
2011/5/3,YRZ,0.5,5.0184,83.48,10.631,7.4,2.46,0.5,0.019,0.01,0.004,0.687,0.028,0.276,0.1,2.81,,0.575
2011/5/18,YRZ,0.5,9.20435,91.505,10.502,7.7,2.33,0.7,0.032,0.016,0.005,0.77,0.024,0.412,0.7,2.8,,0.4
2011/5/30,YRZ,0.5,12.77805,81.315,8.5895,7,2.2,0.5,0.024,0.007,0.006,0.55,0.01,0.178,0.09,2.51,,0.45
2011/6/21,YRZ,0.5,12.82275,87.255,9.208,8,3.02,0.5,0.024,0.015,0.006,0.423,0.012,0.055,0.17,2.11,,0.73
2011/7/12,YRZ,0.5,14.37295,90.005,9.177,7.8,3.12,0.5,0.021,0.015,0.005,1.48,0.018,0.599,0.1,1.52,,0.495
2011/7/26,YRZ,0.5,11.05315,96.94,10.6515,7.9,2.78,0.4,0.016,0.009,0.003,0.372,0.023,0.073,0.2,1.35,,0.495
2011/8/16,YRZ,0.5,13.53115,131.44,13.6515,7.7,4.21,0.5,0.038,0.015,0.005,1.91,0.01,0.169,0.2,2.71,,0.61
2011/8/30,YRZ,0.5,11.4856,90.26,9.8185,7.7,5.41,0.6,0.028,0.018,0.005,1.12,0.03,0.463,0.6,3.41,,0.22
2011/9/21,YRZ,0.5,8.3032,100.175,11.7485,8,3.87,0.3,0.021,0.012,0.006,0.525,0.032,0.423,0.6,3.05,,0.6
2011/10/5,YRZ,0.5,12.2695,82.89,8.8555,7.9,3.2,0.3,0.016,0.01,0.006,0.374,0.017,0.129,0.1,1.53,,1.34
2011/10/18,YRZ,0.5,5.62135,79.52,9.972,7.6,4.6,0.4,0.019,0.013,0.003,0.874,0.01,0.417,0.1,4.47,,0.705
2011/11/1,YRZ,0.5,5.885,96.93,12.072,7.9,2.68,0.6,0.012,0.009,0.003,0.421,0.01,0.243,0.34,2.66,,0.48
2011/11/15,YRZ,0.5,0.01385,91.87,13.389,7.5,2.3,0.2,0.01,0.007,0.007,0.497,0.01,0.311,0.16,3.42,,0.325
2011/11/29,YRZ,0.5,0.41405,91.435,13.178,7.9,2.38,0.3,0.012,0.007,0.004,0.667,0.011,0.308,0.37,3.23,,0.485
2011/12/19,YRZ,0.5,1.868,88.32,12.2295,7.4,3.25,0.4,0.014,0.013,0.004,1.36,0.007,0.959,0.1,3.47,,0
2012/2/21,YRZ,0.5,,,,7.7,2.57,0.3,0.013,0.007,0.003,,0.018,0.77,0.07,3.49,,
2012/3/6,YRZ,0.5,1.6707,73.04,10.167,7.5,2.72,0.3,0.007,0.007,0.003,,0.01,0.691,0.09,3.3,,0.3
2012/3/19,YRZ,0.5,4.23655,108.185,14.061,7.6,3.02,0.1,0.013,0.006,0.003,0.898,0.01,0.368,0.04,3.15,,
2012/4/3,YRZ,0.5,3.2234,94.335,12.5935,8.3,2.62,0.3,0.012,0.007,0.003,,0.022,0.279,0.2,2.51,,0.03
2012/4/17,YRZ,0.5,2.36625,93.915,12.8265,7.6,2.76,0.3,0.017,0.006,0.003,,0.01,0.325,0.5,1.76,,0.18
2012/4/24,YRZ,0.5,,,,,4.3,0.7,0.019,,0.005,,0.01,0.042,,,,
2012/5/2,YRZ,0.5,12.31495,95.275,10.169,7.7,3.27,0.6,0.012,0.007,0.003,,0.047,0.126,0.28,0.488,,0.855
2012/5/8,YRZ,0.5,,,,,4.88,1,0.038,,0.009,,0.011,0.23,,,,
2012/5/14,YRZ,0.5,7.1404,95.03,11.4705,7.8,4.08,0.6,0.029,0.008,0.003,0.586,0.01,0.146,0.1,2.5,,
2012/5/22,YRZ,0.5,,,,,3.38,0.7,0.032,,0.011,,0.017,0.129,,,,
2012/6/4,YRZ,0.5,9.37415,83.13,9.503,7.5,4.32,1.1,0.041,0.012,0.008,,0.016,0.221,0.14,2.76,,0.605
2012/6/12,YRZ,0.5,,,,,3.66,0.5,0.026,,0.011,,0.01,0.089,,,,
