date,NO3_N_mgL,2 x 12 CMA (TREND)
3/9/2011,0.797,
3/30/2011,0.62,
4/19/2011,0.48,
5/3/2011,0.276,
5/18/2011,0.412,
5/30/2011,0.178,
6/21/2011,0.055,0.357727273
7/12/2011,0.599,0.318409091
7/26/2011,0.073,0.293227273
8/16/2011,0.169,0.288863636
8/30/2011,0.463,0.282772727
9/21/2011,0.423,0.284090909
10/5/2011,0.129,0.331090909
10/18/2011,0.417,0.379954545
11/1/2011,0.243,0.415818182
11/15/2011,0.311,0.452954545
11/29/2011,0.308,0.453636364
12/19/2011,0.959,0.440818182
2/21/2012,0.77,0.432409091
3/6/2012,0.691,0.415227273
3/19/2012,0.368,0.401409091
4/3/2012,0.279,0.393318182
4/17/2012,0.325,0.377681818
4/24/2012,0.042,0.336
5/2/2012,0.126,0.2715
5/8/2012,0.23,0.211045455
5/14/2012,0.146,0.172222727
5/22/2012,0.129,0.162
6/4/2012,0.221,0.15365
6/12/2012,0.089,0.1551
6/19/2012,0.042,0.1707
6/20/2012,,0.1748
6/26/2012,0.261,0.1694
7/3/2012,0.176,0.16745
7/10/2012,0.22,0.17285
7/24/2012,0.26,0.182311111
7/31/2012,0.178,0.187222222
8/7/2012,0.09,0.179961111
8/14/2012,0.146,0.16175
8/21/2012,0.312,0.1441
8/22/2012,,0.1285
8/28/2012,0.042,0.1087
9/5/2012,0.042,0.10695
9/11/2012,0.042,0.1321
9/18/2012,0.042,0.15535
9/25/2012,0.042,0.15925
10/1/2012,0.042,0.171177273
10/9/2012,0.361,0.219681818
10/16/2012,0.41,0.279090909
10/22/2012,0.291,0.324545455
10/29/2012,0.245,0.3745
11/6/2012,0.492,0.432772727
11/12/2012,0.773,0.520727273
11/20/2012,0.618,0.592363636
11/27/2012,0.466,0.634545455
12/4/2012,0.717,0.687545455
12/10/2012,0.649,0.750772727
12/17/2012,1.37,0.811636364
1/9/2013,0.609,0.842590909
1/15/2013,1.09,0.860454545
1/23/2013,0.777,0.880272727
1/31/2013,1.15,0.896136364
2/6/2013,0.926,0.912045455
2/12/2013,1.02,0.897636364
2/19/2013,0.764,0.874636364
2/26/2013,0.756,0.858181818
3/5/2013,0.776,0.840095455
3/13/2013,0.94,0.82605
3/19/2013,0.762,0.793222222
3/26/2013,0.711,0.761166667
4/3/2013,0.626,0.729666667
4/15/2013,,0.711847222
4/29/2013,,0.6873125
5/14/2013,0.642,0.645758929
5/28/2013,0.727,0.586142857
6/11/2013,0.49,0.509285714
6/25/2013,,0.440285714
7/9/2013,0.425,0.408142857
7/23/2013,,0.393071429
8/6/2013,0.202,0.359142857
8/20/2013,0.195,0.3215
9/3/2013,0.176,0.287107143
9/17/2013,,0.32325
9/30/2013,0.167,0.413857143
10/15/2013,,0.464544643
10/28/2013,0.464,0.466375
11/12/2013,,0.489
11/26/2013,0.996,0.5463125
12/10/2013,0.969,0.5996875
1/7/2014,0.642,0.6643125
1/21/2014,0.042,0.690458333
2/4/2014,0.717,0.678388889
2/5/2014,,0.657355556
2/18/2014,1.03,0.618744444
3/4/2014,0.742,0.596888889
3/18/2014,0.524,0.582888889
4/1/2014,0.423,0.583833333
4/15/2014,0.301,0.589263889
4/23/2014,,0.569152778
4/28/2014,0.933,0.521111111
5/13/2014,0.426,0.469645833
5/26/2014,0.275,0.449125
6/11/2014,,0.4373125
6/24/2014,0.355,0.439214286
7/8/2014,0.392,0.443276786
7/23/2014,,0.4289375
8/5/2014,0.452,0.42425
8/19/2014,0.306,0.439732143
9/2/2014,,0.466232143
9/16/2014,0.366,0.4886875
9/29/2014,0.786,0.53425
10/13/2014,0.498,0.751048611
10/28/2014,,0.960777778
11/11/2014,0.699,1.035888889
11/24/2014,0.466,1.065122222
12/15/2014,1.01,1.07765
1/7/2015,3.78,1.1098
1/14/2015,1.02,1.13515
1/20/2015,1.09,1.160418182
2/3/2015,0.793,1.190227273
2/17/2015,0.903,1.219681818
3/3/2015,0.892,1.197318182
3/17/2015,0.899,1.023181818
3/31/2015,1.27,0.848636364
4/14/2015,1.24,0.792318182
4/27/2015,0.573,0.748909091
5/11/2015,0.411,0.700863636
5/26/2015,0.548,0.629272727
6/9/2015,0.412,0.572090909
6/23/2015,0.459,0.508727273
7/7/2015,0.469,0.421545455
7/21/2015,0.17,0.363909091
8/3/2015,0.05,0.340272727
8/18/2015,0.483,0.329636364
9/1/2015,0.292,0.319772727
9/16/2015,0.3,0.336318182
9/28/2015,0.245,0.382818182
10/14/2015,0.219,0.434045455
10/26/2015,0.506,0.511454545
11/10/2015,0.237,0.585863636
11/23/2015,0.998,0.657454545
12/8/2015,0.953,0.732590909
1/12/2016,0.813,0.782772727
1/26/2016,1.11,0.830636364
2/9/2016,1.06,0.858090909
2/23/2016,1.29,0.869363636
3/8/2016,0.955,0.848363636
3/21/2016,0.694,0.787136364
4/5/2016,0.823,0.735590909
4/19/2016,0.506,0.680227273
5/2/2016,0.485,0.611909091
5/17/2016,0.288,0.540681818
5/30/2016,0.316,0.4652
6/14/2016,0.316,0.39935
6/28/2016,0.389,0.3386
7/12/2016,0.278,0.28665
7/25/2016,,0.26025
7/26/2016,0.159,0.2617
8/9/2016,0.173,0.275
8/23/2016,0.129,0.28785
9/6/2016,0.161,0.31305
9/20/2016,0.302,0.3622
10/4/2016,0.5,0.40965
10/18/2016,0.37,0.453909091
11/1/2016,0.519,0.500409091
11/14/2016,0.69,0.56505
11/29/2016,0.96,0.69955
12/12/2016,0.69,0.8269
1/10/2017,0.839,0.89015
1/24/2017,,0.92335
2/7/2017,1.11,0.93455
2/21/2017,1.87,0.9199
3/7/2017,1.14,0.87795
3/21/2017,0.927,0.83155
4/4/2017,0.607,0.7918
4/18/2017,0.506,0.753477273
5/2/2017,0.41,0.708590909
5/15/2017,0.401,0.616
5/30/2017,0.321,0.5205
6/13/2017,0.413,0.465545455
6/27/2017,0.396,0.434363636
7/10/2017,0.497,0.421272727
7/25/2017,0.446,0.406454545
8/8/2017,0.463,0.404772727
8/22/2017,0.395,0.424454545
9/5/2017,0.453,0.462227273
9/18/2017,0.372,0.514409091
10/4/2017,0.218,0.566590909
10/17/2017,0.556,0.623272727
11/1/2017,0.599,0.671
11/13/2017,0.966,0.720136364
11/28/2017,0.991,0.775772727
12/12/2017,1.05,0.819777273
1/9/2018,1.14,0.8832
1/24/2018,0.819,0.94465
2/6/2018,1.12,0.9711
2/20/2018,0.952,0.95495
3/6/2018,,0.9075
3/20/2018,1.06,0.85605
4/3/2018,0.943,0.8087
4/17/2018,0.741,0.7632
5/2/2018,0.501,0.716566667
5/15/2018,0.507,0.665388889
5/29/2018,0.505,0.609622222
6/11/2018,0.738,0.5439
6/26/2018,0.311,0.47255
7/10/2018,,0.41725
7/24/2018,0.413,0.3846
8/7/2018,0.119,0.35255
8/21/2018,0.262,0.3213
